"media href","img-fit src","media","product-label 2","product-brand-logo src","card-link","price__current","price__was","price__was 2","price__adviesprijs-badge","price__adviesprijs-amount","price__adviesprijs-amount 2"
"https://justpadel.com/en/collections/padel-rackets/products/dunlop-galactica-lite-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/dunlop-galactica-lite-2025-3722087.png?v=1758194778&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Dunlop Galactica Lite 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/dunlop.svg?v=1751631714","Dunlop Galactica Lite 2025","€159","","","List price:","€209","95"
"https://justpadel.com/en/collections/padel-rackets/products/nox-at10-genius-12k-xtreme-by-agustin-tapia-2026","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/NOXAT10Genius12KXtremeByAgustinTapia2026_2.jpg?v=1761918122&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/nox.svg?v=1751631714","NOX AT10 Genius 12K Xtreme By Agustin Tapia 2026","€389","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-flow-elite-w","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-elite-w-26-8505465.jpg?v=1758193354&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Bullpadel Elite W 26 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel Elite W 26","€269","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-vertex-05-w","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20800%20800'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-vertex-05-w-26-1545095.jpg?v=1758193344&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""800"" height=""800"" alt=""Bullpadel Vertex 05 W 26 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel Vertex 05 W 26","€279","","","List price:","€309","95"
"https://justpadel.com/en/collections/padel-rackets/products/siux-spyder-lite-ctrl-3-hard","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/SiuxTrilogy3Control_1_442d591c-afdd-4880-9040-722e383c3add.jpg?v=1762187899&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Spyder Lite CTRL 3 Hard","€159","","","List price:","€229","95"
"https://justpadel.com/en/collections/padel-rackets/products/dunlop-tristorm-pro-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/dunlop-tristorm-pro-2025-8171478.jpg?v=1758194783&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Dunlop Tristorm Pro 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/dunlop.svg?v=1751631714","Dunlop Tristorm Pro 2025","€104","","","List price:","€139","95"
"https://justpadel.com/en/collections/padel-rackets/products/dunlop-tristorm-lite-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/dunlop-tristorm-lite-2025-3432831.jpg?v=1758194782&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Dunlop Tristorm Lite 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/dunlop.svg?v=1751631714","Dunlop Tristorm Lite 2025","€69","","","List price:","€129","95"
"https://justpadel.com/en/collections/padel-rackets/products/dunlop-galactica-junior-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/dunlop-galactica-junior-2025-6770891.jpg?v=1758194780&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Dunlop Galactica Junior 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/dunlop.svg?v=1751631714","Dunlop Galactica Junior 2025","€64","","","List price:","€69","95"
"https://justpadel.com/en/collections/padel-rackets/products/nox-at10-genius-18k-by-agustin-tapia-2026","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/NOXAT10Genius18KByAgustinTapia2026.jpg?v=1761916497&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/nox.svg?v=1751631714","NOX AT10 Genius 18K By Agustin Tapia 2026","€389","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/siux-valkiria-elite-2","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/Bjorn_Borg_W_Essential_1_Sweatshirt_Sea_Pine_95_37fa866b-7e2c-4d4b-b2f9-07c2cb98308c.jpg?v=1762256378&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Valkiria Elite 2","€269","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/dunlop-galactica-pro-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/dunlop-galactica-pro-2025-6828104.png?v=1758194776&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Dunlop Galactica Pro 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/dunlop.svg?v=1751631714","Dunlop Galactica Pro 2025","€204","","","List price:","€269","95"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-icon-cloud-25","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-icon-cloud-25-2752080.jpg?v=1758194126&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Bullpadel Icon Cloud 25 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel Icon Cloud 25","€269","","","List price:","€295","00"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-flow-legend","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20800%20800'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-flow-legend-26-6405628.jpg?v=1758193346&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""800"" height=""800"" alt=""Bullpadel Flow Legend 26 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel Flow Legend 26","€249","","","List price:","€280","00"
"https://justpadel.com/en/collections/padel-rackets/products/babolat-alioth-pro-jr","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/BabolatAliothProJR_1.jpg?v=1759841526&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/babolat.svg?v=1751361593","Babolat Alioth Pro JR","€119","","","List price:","€150","00"
"https://justpadel.com/en/collections/padel-rackets/products/nox-at10-genius-attack-18k-2026","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/NOXAt10GeniusAttack18K2026_3.jpg?v=1761917035&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/nox.svg?v=1751631714","NOX At10 Genius Attack 18K 2026","€359","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/nox-at10-genius-attack-12k-xtrem-2026","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/NOXAt10GeniusAttack12KXtrem2026_2.jpg?v=1762164660&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/nox.svg?v=1751631714","NOX At10 Genius Attack 12K Xtrem 2026","€359","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-ionic-power-26","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/BullpadelIonicPower26_2.jpg?v=1763124728&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel Ionic Power 26","€179","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/babolat-alioth-jr","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/BjornBorgWEssential1SweatshirtSeaPine_55.jpg?v=1759842732&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/babolat.svg?v=1751361593","Babolat Alioth JR","€99","","","List price:","€110","00"
"https://justpadel.com/en/collections/padel-rackets/products/babolat-alioth-mini-jr","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/BjornBorgWEssential1SweatshirtSeaPine_50.jpg?v=1759841729&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/babolat.svg?v=1751361593","Babolat Alioth Mini JR","€79","","","List price:","€110","00"
