"thumbnail href","img-fluid src","img-fluid src 2","product-category-name","h3","product-reference","product-price","product-description-short","product-brand","product-flag 2","regular-price"
"https://allforpadel.com/en/padel-rackets/7212-adidas-adidas-drive-33-blue-8436548249021.html","https://allforpadel.com/5546-home_default/adidas-adidas-drive-33-blue.jpg","https://allforpadel.com/5542-home_default/adidas-adidas-drive-33-blue.jpg","Padel rackets","Adidas DRIVE 3.3 BLUE Racket","ADRK5CA0U0012F","€56.00","An ideal racket for improving on the court. It combines balance, comfort, easy handling and features to improve in all aspects.","adidas","-30%","€80.00"
"https://allforpadel.com/en/padel-rackets/7216-adidas-adidas-match-33-black-lime-8436548249069.html","https://allforpadel.com/5568-home_default/adidas-adidas-match-33-black-lime.jpg","https://allforpadel.com/5572-home_default/adidas-adidas-match-33-black-lime.jpg","Padel rackets","Adidas Match 3.3 Black/Lime Racket","ADRK5GA1U0010F","€55.50","Master control and power right from the start with this racket made for the balance between both styles.","adidas","-26%","€75.00"
"https://allforpadel.com/en/padel-rackets/7217-adidas-adidas-match-light-33-8436548249076.html","https://allforpadel.com/5576-home_default/adidas-adidas-match-light-33.jpg","https://allforpadel.com/5574-home_default/adidas-adidas-match-light-33.jpg","Padel rackets","Adidas Match Light 3.3 Racket","ADRK5GA2U0012F","€55.50","A racket that combines balance, easy handling, lightness, and the powerful capabilities of the teardrop shape in the same handle.","adidas","-26%","€75.00"
"https://allforpadel.com/en/padel-rackets/7211-adidas-adipower-junior-33-8436548249090.html","https://allforpadel.com/5583-home_default/adidas-adipower-junior-33.jpg","https://allforpadel.com/5582-home_default/adidas-adipower-junior-33.jpg","Padel rackets","Adidas Adipower Junior 3.3 Racket","ADRK4CA0U0217F","€60.00","Taking up padel is a special and significant moment for young players and they should therefore be accompanied by a racket that is specifically made for them. Junior players have their best companion here.","adidas","-25%","€80.00"
"https://allforpadel.com/en/padel-rackets/7210-adidas-metalbone-youth-33-8436548249083.html","https://allforpadel.com/5533-home_default/adidas-metalbone-youth-33.jpg","https://allforpadel.com/5538-home_default/adidas-metalbone-youth-33.jpg","Padel rackets","Adidas Metalbone Youth 3.3 Racket","ADRK4AA0U0116F","€80.50","The youngest players have in this racket the best option to win from the first day and grow match after match.","adidas","-30%","€115.00"
"https://allforpadel.com/en/all-padel-rackets/628-adidas-essnova-ltd-limited-edition-8436548248697.html","https://allforpadel.com/4326-home_default/adidas-essnova-ltd-limited-edition.jpg","https://allforpadel.com/4539-home_default/adidas-essnova-ltd-limited-edition.jpg","All padel rackets","Essnova LTD  Limited edition","RK6CM9U10","€137.50","The Essnova LTD is a unique limited-edition racket that brings together the best technologies. The Essnova range uses the very latest materials to ensure you can bring your best game to the padel court.","adidas Exclusivo","-45%","€250.00"
"https://allforpadel.com/en/padel-rackets/566-adidas-adipower-multiweight-8436548247638.html","https://allforpadel.com/4058-home_default/adidas-adipower-multiweight.jpg","https://allforpadel.com/4059-home_default/adidas-adipower-multiweight.jpg","Padel rackets","Adidas Adipower Multiweight 3.2 Racket","RK1AC0U21","€120.00","The maximum exponent of innovation comes to the Adipower family with the ADIPOWER MULTIWEIGHT. A padel racquet featuring the very best technology.","adidas","-70%","€400.00"
"https://allforpadel.com/en/padel/462-adidas-katmay-ctrl-orange-8436548245818.html","https://allforpadel.com/2520-home_default/adidas-katmay-ctrl-orange.jpg","https://allforpadel.com/2522-home_default/adidas-katmay-ctrl-orange.jpg","Padel","Katmay Ctrl Orange","RK6CJ4U17","€58.48","Keep your game under control with the new KATMAY CTRL, the perfect racquet to increase your performance in any situation. Thanks to the versatility of this racket you will be able to play at your best from the very first moment. With the combination of fiberglass and carbon fiber you will take your game to the next level.","adidas Exclusivo","-55%","€129.95"
"https://allforpadel.com/en/all-padel-rackets/584-adidas-drive-32-8436548247812.html","https://allforpadel.com/4248-home_default/adidas-drive-32.jpg","https://allforpadel.com/4251-home_default/adidas-drive-32.jpg","All padel rackets","Adidas Drive 3.2 Racket","RK5CA0U14","€41.25","Starting is always easier with a racquet like the DRIVE 3.2. It’s designed to make you feel like you’ve been in the game for a long time, even if you’re new.","adidas","-45%","€75.00"
"https://allforpadel.com/en/padel/493-adidas-adipower-greenpadel-8436548246389.html","https://allforpadel.com/2940-home_default/adidas-adipower-greenpadel.jpg","https://allforpadel.com/2941-home_default/adidas-adipower-greenpadel.jpg","Padel","Adidas Adipower Greenpadel 3.1 Racket","RK1CD3U15","€69.00","Winning a padel match is a great source of satisfaction, but winning the battle against climate change will be our greatest triumph.","adidas","-70%","€230.00"
"https://allforpadel.com/en/padel-rackets/7215-adidas-adidas-match-33-black-red-8436548249052.html","https://allforpadel.com/5564-home_default/adidas-adidas-match-33-black-red.jpg","https://allforpadel.com/5562-home_default/adidas-adidas-match-33-black-red.jpg","Padel rackets","Adidas Match 3.3 Black/Red Racket","ADRK5GA0U0012F","€55.50","A racket for players looking to dominate all types of shots and find the differential factor in power","adidas","-26%","€75.00"
"https://allforpadel.com/en/padel-rackets/7277-adipower-ctrl-mtw-pro-edt-2024-alex-ruiz-8435739402658.html","https://allforpadel.com/6507-home_default/adipower-ctrl-mtw-pro-edt-2024-alex-ruiz.jpg","https://allforpadel.com/6534-home_default/adipower-ctrl-mtw-pro-edt-2024-alex-ruiz.jpg","Padel rackets","Adipower CTRL MTW PRO EDT 2024 Alex Ruiz","ADRK1CA7U0012F","€202.50","The new exclusive racket by Álex Ruiz arrives to bring out your best version in every shot, thanks to its wide range of technologies and solid composition.","adidas","-55%","€450.00"
